order_book_id,date,limit_up,num_trades,close,high,volume,limit_down,open,low,total_turnover,turnover_rate
002353.XSHE,2016-01-04,223.8871,18061.0,183.7927,205.6843,1907829.359,183.1512,203.6796,183.5522,361030751.69,2.2398
002353.XSHE,2016-01-05,202.156,25867.0,174.0097,183.5522,2993656.9231,165.4295,176.4154,166.8729,510998573.6,3.5145
002353.XSHE,2016-01-06,191.4107,17454.0,178.9814,179.0616,2195131.5385,156.6087,174.6512,172.9672,376143674.48,2.5771
002353.XSHE,2016-01-07,196.8635,5048.0,161.4201,176.5757,736845.1282,161.0993,176.4955,161.0993,120709166.61,0.865
002353.XSHE,2016-01-08,177.538,22511.0,160.3776,165.9106,2837209.2308,145.3021,164.387,149.7927,441031010.3,3.3308
002353.XSHE,2016-01-11,176.4154,19923.0,144.3398,159.4153,2516784.8718,144.3398,156.3682,144.3398,371900094.01,2.9547
002353.XSHE,2016-01-12,158.7738,14560.0,142.9766,146.3446,1980739.359,129.9059,143.137,138.8068,274772701.16,2.3254
002353.XSHE,2016-01-13,157.2502,12975.0,135.6794,145.5427,1642158.9744,128.703,144.821,135.5191,226435979.37,1.9279
002353.XSHE,2016-01-14,149.2314,15601.0,138.9672,140.4106,2170716.1538,122.1275,129.3445,128.4625,283567005.48,2.5484
002353.XSHE,2016-01-15,152.8399,18560.0,133.4342,142.7361,2357083.0769,125.0945,139.6087,132.5521,317326096.12,2.7672
002353.XSHE,2016-01-18,146.7455,12986.0,135.6794,138.4059,1771456.9231,120.1228,129.0238,129.0238,232136102.27,2.0797
002353.XSHE,2016-01-19,149.2314,14391.0,140.3304,140.8115,2123673.0769,122.1275,135.7596,134.4766,285311955.44,2.4932
002353.XSHE,2016-01-20,154.3634,12479.0,138.9672,141.0521,1659924.8718,126.2974,139.5285,136.9625,225250412.86,1.9487
002353.XSHE,2016-01-21,152.8399,13299.0,131.3493,140.17,1698833.3333,125.0945,135.5191,131.1889,224407149.2,1.9944
002353.XSHE,2016-01-22,144.5002,13876.0,138.4861,139.2078,1972988.0769,118.1983,133.9153,130.6276,258963702.1,2.3163
